,cp_ro_volumen1,cp_rosario_consumoxhr,cp_ppaz_fit,q_salida rosario,cp_ros_rect2_new,cp_nivel_tk_rosario2,n_rosario,cp_esc_volumen1,cp_escorial_entrada_caudal,cp_escorial_consumoxhr
cp_ro_volumen1,1.0,-0.21348280806733996,-0.09670236462677949,-0.07215671442260645,0.12257662454989254,0.9905336429075723,0.9903062086356584,0.6773569637509996,-0.17431759625427554,-0.10888008876993213
cp_rosario_consumoxhr,-0.21348280806733996,1.0,0.25852082619278377,0.8994222621665422,0.05227345668295733,-0.22923198156673832,-0.2133013130437253,-0.1029192324001731,0.25845612444999305,0.8377163464354346
cp_ppaz_fit,-0.09670236462677949,0.25852082619278377,1.0,0.2154789789538662,0.5148254385261911,-0.1691271785424593,-0.16456481746865015,-0.07536982096806782,0.14212031894365434,0.17780737722271606
q_salida rosario,-0.07215671442260645,0.8994222621665422,0.2154789789538662,1.0,0.01649764273714336,-0.08224110122951277,-0.06438297677448733,-0.009051586011033397,0.20454709948944078,0.8877036429998384
cp_ros_rect2_new,0.12257662454989254,0.05227345668295733,0.5148254385261911,0.01649764273714336,1.0,-0.012964954630037362,-0.01443998913375333,0.13163185296023336,0.04909997505772324,-0.04773706896782783
cp_nivel_tk_rosario2,0.9905336429075723,-0.22923198156673832,-0.1691271785424593,-0.08224110122951277,-0.012964954630037362,1.0,0.9996051791962182,0.6637481362108082,-0.18370914569445007,-0.10997401968507964
n_rosario,0.9903062086356584,-0.2133013130437253,-0.16456481746865015,-0.06438297677448733,-0.01443998913375333,0.9996051791962182,1.0,0.6647579691546288,-0.18081006472897698,-0.09405108241863651
cp_esc_volumen1,0.6773569637509996,-0.1029192324001731,-0.07536982096806782,-0.009051586011033397,0.13163185296023336,0.6637481362108082,0.6647579691546288,1.0,-0.05777821589246798,-0.07427621699260657
cp_escorial_entrada_caudal,-0.17431759625427554,0.25845612444999305,0.14212031894365434,0.20454709948944078,0.04909997505772324,-0.18370914569445007,-0.18081006472897698,-0.05777821589246798,1.0,0.21791305844144337
cp_escorial_consumoxhr,-0.10888008876993213,0.8377163464354346,0.17780737722271606,0.8877036429998384,-0.04773706896782783,-0.10997401968507964,-0.09405108241863651,-0.07427621699260657,0.21791305844144337,1.0
